"Vorname","Nachname","Alter","Partei"
"Rudolf","Silvan","56","SPÖ"
"Johann","Singer","66","ÖVP"
"Maria","Smodics-Neumann","54","ÖVP"
"Josef","Smolle","65","ÖVP"
"Wolfgang","Sobotka","68","ÖVP"
"Thomas","Spalt","39","FPÖ"
"Christoph","Stark","57","ÖVP"
"Harald","Stefan","58","FPÖ"
"Petra","Steger","36","FPÖ"
"Michaela","Steinacker","61","ÖVP"
"Christian","Stocker","64","ÖVP"
"Alois","Stöger","63","SPÖ"
"David","Stögmüller","37","GRÜNE"
"Georg","Strasser","52","ÖVP"
"Alexandra","Tanda","61","ÖVP"
"Petra","Tanzler","51","SPÖ"
"Rudolf","Taschner","71","ÖVP"
"Nina","Tomaselli","39","GRÜNE"
"Agnes","Totter","50","ÖVP"
"Harald","Troch","65","SPÖ"
"Olga","Voglauer","43","GRÜNE"
"Johann","Weber","59","ÖVP"
"Peter","Weidinger","46","ÖVP"
"Hermann","Weratschnig","49","GRÜNE"
"Katharina","Werner","39","NEOS"
"Petra","Wimmer","58","SPÖ"
"Rainer","Wimmer","68","SPÖ"
"August","Wöginger","49","ÖVP"
"Peter","Wurm","59","FPÖ"
"Selma","Yildirim","54","SPÖ"
"Wolfgang","Zanger","55","FPÖ"
"Christoph","Zarits","43","ÖVP"
"Bettina","Zopf","49","ÖVP"
"Süleyman","Zorba","31","GRÜNE"
