"Name","Alter","Partei"
"Dr. Werner Saxinger, MSc","58","ÖVP"
"Ralph Schallmeiner","48","GRÜNE"
"Mag.a Corinna Scharzenberger","33","ÖVP"
"Sabine Schatz","45","SPÖ"
"Sepp Schellhorn","57","NEOS"
"Dr. Nikolaus Scherak, M.A.","37","NEOS"
"Mag. Elisabeth Scheucher-Pichler","70","ÖVP"
"MMag.a Michaela Schmidt","40","SPÖ"
"Peter Schmiedlechner","41","FPÖ"
"Johannes Schmuckenschlager","45","ÖVP"
"Joachim Schnabel","47","ÖVP"
"Michael Schnedlitz","40","FPÖ"
"Mag. Philipp Schrangl","39","FPÖ"
"Alois Schroll","56","SPÖ"
"Mag. Dr. Jakob Schwarz, BA","39","GRÜNE"
"Michael Seemayer","47","SPÖ"
"Mag. Yannick Shetty","29","NEOS"
"Norbert Sieber","55","ÖVP"
"Rudolf Silvan","56","SPÖ"
"Johann Singer","66","ÖVP"
"Mag.a (FH) Maria Smodics-Neumann","54","ÖVP"
"Univ.-Prof. Dr. Josef Smolle","65","ÖVP"
"Mag. Wolfgang Sobotka","68","ÖVP"
"Thomas Spalt","39","FPÖ"
"Christoph Stark","57","ÖVP"
"Mag. Harald Stefan","58","FPÖ"
"Petra Steger","36","FPÖ"
"Mag.a Michaela Steinacker","61","ÖVP"
"Dr. Christian Stocker","64","ÖVP"
"Alois Stöger, diplômé","63","SPÖ"
"David Stögmüller","37","GRÜNE"
"Dipl.-Ing. Georg Strasser","52","ÖVP"
"Ing.in Mag.a (FH) Alexandra Tanda","61","ÖVP"
"Dipl.-Päd. Petra Tanzler","51","SPÖ"
"ao. Univ.-Prof. Mag. Dr. Rudolf Taschner","71","ÖVP"
"Mag. Nina Tomaselli","39","GRÜNE"
"MMag.a Dr.in Agnes Totter, BEd","50","ÖVP"
"Dr. Harald Troch","65","SPÖ"
"DI Olga Voglauer","43","GRÜNE"
"Ing. Johann Weber","59","ÖVP"
"Peter Weidinger","46","ÖVP"
"Hermann Weratschnig, MBA, MSc","49","GRÜNE"
"MMag.a Katharina Werner, Bakk.a","39","NEOS"
"Petra Wimmer","58","SPÖ"
"Rainer Wimmer","68","SPÖ"
"August Wöginger","49","ÖVP"
"Peter Wurm","59","FPÖ"
"Mag.a Selma Yildirim","54","SPÖ"
"Wolfgang Zanger","55","FPÖ"
"Christoph Zarits","43","ÖVP"
"Bettina Zopf","49","ÖVP"
"Süleyman Zorba","30","GRÜNE"
