Name;Alter;Partei;ID
Mag.a Romana Deckenbacher, BEd;57;ÖVP;
Mag.a Ruth Becher;68;SPÖ;
Mag.a Selma Yildirim;54;SPÖ;454736150
Mag.a Sibylle Hamann;57;GRÜNE;50578233
Mag.a Verena Nussbaum;54;SPÖ;9,36E+17
Mag.a. Ulrike Fischer;51;GRÜNE;1,01E+18
Maria Großbauer;44;ÖVP;
Mario Lindner;42;SPÖ;
Martina Diesner-Wais;56;ÖVP;
Martina Kaufmann, MMSc, BA;38;ÖVP;19530594
Maximilian Köllner, MA;32;SPÖ;7,83E+17
Maximilian Lercher;37;SPÖ;394177801
Maximilian Linder;59;FPÖ;
Melanie Erasim, MSc;41;SPÖ;
Michael Bernhard;43;NEOS;174998008
Michael Schnedlitz;40;FPÖ;
Michael Seemayer;47;SPÖ;
Michel Reimon, BSc, MBA;52;GRÜNE;4861442225
MMag. DDr. Hubert Fuchs;55;FPÖ;
MMag. Dr. Karl-Arthur Arlamovsky;51;NEOS;
MMag.a Dr.in Agnes Totter, BEd;50;ÖVP;
MMag.a Dr.in Gudrun Kugler, MTS;47;ÖVP;
MMag.a Katharina Werner, Bakk.a;39;NEOS;
MMag.a Michaela Schmidt;40;SPÖ;
MMMag. Dr. Axel Kassegger;58;FPÖ;
Nico Marchetti;34;ÖVP;2711524718
Nikolaus Prinz;61;ÖVP;
Norbert Sieber;55;ÖVP;
ÖkR Franz Eßl;66;ÖVP;
Peter Haubner;64;ÖVP;
Peter Schmiedlechner;41;FPÖ;
Peter Weidinger;46;ÖVP;
Peter Wurm;59;FPÖ;
Petra Bayr, MA, MLS;56;SPÖ;590798448
Petra Steger;36;FPÖ;
Petra Wimmer;58;SPÖ;
Philip Kucher;42;SPÖ;16097307
Pia Philippa Beck;36;...;
Prof. Mag. Gerald Hauser;62;FPÖ;
Prof. MMMag. Gertraud Salzmann;59;ÖVP;7,32E+17
Rainer Wimmer;68;SPÖ;
Ralph Schallmeiner;48;GRÜNE;68799321
Rebecca Kirchbaumer;49;ÖVP;
Robert Laimer;57;SPÖ;
Rosa Ecker, MBA;55;FPÖ;
Rudolf Silvan;56;SPÖ;9,53E+17
Sabine Schatz;45;SPÖ;
Sepp Schellhorn;57;NEOS;
Sigrid Maurer, BA;39;GRÜNE;22000071
Süleyman Zorba;30;GRÜNE;7,60E+17
Tanja Graf;49;ÖVP;
Thomas Spalt;39;FPÖ;
Ulrike Böker;67;GRÜNE;
Univ.-Prof. Dr. Josef Smolle;65;ÖVP;
Walter Rauch;46;FPÖ;
Werner Herbert;60;FPÖ;
Wolfgang Zanger;55;FPÖ;
